Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,15669.6160398263,18427.6115299095,22134.0172712515,24837.9509579621,25357.7869437251,26329.3131412118,26401.968740042,26663.2077602359,27272.3100411519,26705.1809964158,26087.7758122111,27190.5011823334,27151.9241038764,26954.4045087697,28417.3842120132,26966.0547913068,25508.3025249991,25469.2874132699,27005.5295318108,26979.8853627251,27046.2239557508,27427.5782618678,27365.9309649898,24463.6922486895,23512.6025956397,24233.0010815022,23781.2572983852,24635.764947531,24697.4940275196,24452.606574011,24277.4067939156,24485.0832823881,,
Afghanistan,AFG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.303552908057,343.080889714587,333.216684486798,357.234719908026,365.284494951006,405.548979051796,412.014286663305,488.300250990155,543.303041863931,528.736648057768,576.190125450699,587.565090150176,583.656192833121,574.184114271258,571.073774523561,571.542505760778,563.825662667794,
Angola,AGO,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,3179.53845791881,2934.39772408758,2831.97215191659,2847.50175606134,2912.66515023622,2909.52891499335,2890.01500652796,2904.12954083143,2976.63600395655,2877.3382969972,2685.77857401362,2623.71399790911,2390.80776712105,1759.35310834534,1726.3156873238,1922.41619328126,2113.75076631864,2195.71885948871,2225.68435703379,2201.52946001159,2195.63058208212,2213.68116198694,2433.80439286308,2423.29399490108,2597.45699523307,2883.97821142556,3102.65092800056,3409.50346175619,3652.15349820189,3549.5778566281,3587.88379824396,3579.96008133817,3748.44944481631,3796.88262194857,3843.19824098164,3748.32062301759,3530.30942264945,3409.92928463039,3229.61973975117,
Albania,ALB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,1992.29766585246,2064.98960568873,2081.42362044238,2060.25965985275,1992.11662922968,1986.32763098221,2058.12653281358,2001.53841830682,1936.23778039313,2070.29547401051,1838.67277697864,1331.80914676776,1243.60940395389,1370.83001624701,1493.7902013673,1703.28674733473,1869.87125520675,1676.13193150228,1835.65196486823,2085.43199967837,2244.63109245948,2453.63147595272,2572.72883727414,2725.17923301769,2887.37865319206,3062.68269833158,3263.91110765176,3485.33244119722,3775.59218159904,3928.46173167434,4094.36211924475,4209.88695135201,4276.62018013047,4327.39244877721,4413.30962743377,4524.38610843611,4681.84003875807,4865.20954616765,5079.40111990631,
Andorra,AND,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,42137.5189947395,41883.1412123491,43051.2231750558,44201.7280770732,44648.3822216412,43158.00760544,43079.8158044325,42958.8938568115,42339.3340715661,41041.8667765521,40495.698015877,38896.6259416659,37756.4209028065,36776.5149572427,35820.9317453704,35095.9925402225,34744.3924512447,35204.9894579815,35546.6495470777,35831.6208246801,35780.5196725988,35291.7114092924,34278.6471002551,32766.0596707401,32633.8251274783,32917.6488213571,34175.2600684125,37293.2824132908,38595.7232096964,40035.4824490851,40801.5421300322,41420.8461776969,42396.3023980284,45519.4923839434,47032.8668884706,48831.9293599384,49707.17301531,48710.0755019137,43900.4282124681,41979.3688806202,39736.3540626699,38207.5959074045,38192.4398900703,39111.0795278003,40790.198010639,41767.5265081665,42949.6662371557,43858.0775135619,44569.7830090145,
Arab World,ARB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,4071.55352528986,4571.6493757522,4792.02377571234,4607.49163398918,4974.03015891163,5256.90734117484,5242.0282122973,4620.51811942082,4174.80225236707,4106.25343950081,3894.63673841152,3960.37183020167,3829.31038352293,3931.57975953983,3914.73494656028,4270.82462718794,4220.58231375967,4350.85515843894,4375.09687101498,4401.18651493037,4385.39377720725,4482.48323283939,4570.54738473197,4708.92577581963,4692.57347249239,4845.32489058991,4818.20347787604,4743.81652646319,4889.32659555243,5227.39877005412,5403.21961002438,5620.68613909274,5738.3006411595,5926.96441327281,5810.85867533318,5946.25857899362,6021.78111301793,6279.46271351459,6337.46423310735,6354.79837775237,6430.29703116083,6515.6109509947,6444.24926337201,6452.47330369676,
United Arab Emirates,ARE,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,103604.906761616,103766.654037947,109318.635675083,94683.6793247567,102668.63180644,116232.75297577,113095.337311238,99319.6142653996,89704.0386711589,88583.3785405906,80886.4664441653,64972.4226048589,63352.2940320065,58146.7964800484,61588.0867298091,68780.5885485528,65478.7069202228,63853.890761015,61081.3715995434,61843.2137119288,62681.6090675803,63076.6064636338,64864.720318444,61773.8673566819,60291.5089875618,63251.5229870394,60861.2659986951,59187.2069291283,60351.1400473437,60328.3205264375,56092.9202185986,53335.0315740292,47283.9032785234,42456.7958854415,36024.0582294666,33893.303514039,34634.8621429885,35416.8917844949,36978.8330410358,38495.0463535702,40247.7471423171,41045.1111167209,40697.8180580012,40782.4436240123,
Argentina,ARG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,5642.76513813328,5853.17190550128,5711.17933827409,5323.49430875299,5772.64996675285,6286.22934651492,6151.92602594926,6255.18402161641,6460.78745199298,6980.89917797887,7084.18147848151,7368.07758010525,7368.50576960672,7453.75355684331,7740.85592849079,7617.94315128736,7350.8285666498,7743.58231487359,7285.43955621042,7910.36662234598,7908.02261816432,7380.67498356137,7210.34702077923,7403.72720995174,7399.88911933586,6904.64504404204,7214.27070267463,7294.06425599089,7104.18120080538,6497.42554534223,6245.70857662189,6721.27823910953,7157.32831119985,7644.23569200433,7988.64461361092,7666.53000424516,7994.24337081722,8543.02853403286,8772.06320960578,8381.25399829498,8224.11282651363,7776.13787206685,6854.29408086406,7380.4670873289,7962.41230916816,8577.86499429459,9174.50245831661,9901.51188115634,10201.4759370923,9502.24358504659,10385.9644319555,10883.315359489,10649.8372874572,10784.6306992057,10398.6940069464,10568.1578087083,10239.4813479933,10404.2635134208,10043.5085520823,
Armenia,ARM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1796.93338443952,1601.59062416544,949.031291670401,886.030151341586,956.468846570432,1043.54119486628,1121.87950406801,1172.13568009922,1267.57405942099,1317.73979050316,1404.3200896038,1548.05961278644,1761.84123383193,2019.90053213589,2244.1393981339,2571.97712834302,2934.02488180947,3366.66493916206,3629.90909142676,3137.34609782582,3218.37270660563,3370.55110336209,3603.59584827024,3705.35739647445,3819.2177873036,3923.7165022155,3917.3796757227,4198.7947488088,4406.70643395879,
American Samoa,ASM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10551.212572216,10561.3156869179,10586.6823368619,10565.2319198874,10202.9553063961,10535.5519401488,10416.0057817659,10117.0113625969,10271.2245225485,10360.5091546826,9921.80610804858,9640.34446203248,9717.82905631836,9850.56503409338,9589.9798367323,9048.18252237097,9271.71200951825,
