"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,"Base Year",
"North Macedonia, Republic of","962","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-4611992000","-1850745120","-2945401550","-3258186000","-1744190650","-5382675480","-1341598500","-17408873120","-5015379080","-2948724540","-5782849920","-8701471020","-8416607430","-13031835466.8828","-9866119397.17951",,,,,"",
"Papua New Guinea","853","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-391400000","-408100000","-414900000","-424400000","-435100000",,,,,,,,,,,,,,,"",
"India","534","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-227330000000","-200680000000","-166900000000","-207080000000","-223750000000","-261160000000","-332340000000","-205120000000","-329230000000","-380000000000","-818070000000","-768240000000","-1167660000000","-1398840000000","-1474300000000","-1597799999999.99","-1896000000000",,,"",
"Lebanon","446","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","739000000000","178000000000","-386000000000","-681000000000","-531000000000","787000000000","567000000000","636000000000","406000000000","1287000000000",,,,,,,,,,"",
"Tanzania, United Rep. of","738","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-66699000000","-38939000000","-1383173000000","-3045726000000","-4910258000000","-180000000","36379300961.6775","64753776165.0708","33762675887.7943","98198425862.8226","106469801217.297","131946663340.965","-15808341035.3176","-137570187287.254","-197509854609.468",,,,,"",
"Brazil","223","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-34531640000","-42720250000","-49945980000","-54518120000","-57839200000","-62744380000","-60293580000","-57780670000","-76253540000","-73751760000","-120034680000","-112459740000","-120130140000","-74083750000","-107686990000","-112822280000","-133006330000","-123115920000","-194790520000","",
"South Africa","199","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-21717000000","-32806000000",,,,,,,,,,,,,,,,,,"",
"Sweden","144","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","2620822000000","2655451000000","2658820000000","2743232000000","2695678000000","2974949000000","3221822000000","3874601000000","3988173000000","3451545000000","3602671000000","3916872000000","3961650000000","3977912000000","4127409000000","4180281000000","4357137000000","4576927000000","4890205000000","",
"Chile","228","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-1476216539300","-1490943807100","-1862743345500","-3181370619200","-4958253657400","-5956776824200","-9957073786800","-10116977155300","-7303703214500","-6596948603000","-7869339647200","-7380223009600","-6130624983600","-5974726190600","-5164171530000","-4739299523000","-4598772875000","-7374597438000","-7846329758000","",
"Moldova, Rep. of","921","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","794257056.799998","1432203000","2248881000","3218591000","4382066000","5088391000","5271539000","4980109000","6175991000","3403798000","5998857000","6630342000","10200667000","10887842000","11667706000","8660465000","9227580999.99999",,,"",
"Congo, Rep. of","634","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-573800000","-497500000","-464000000","-340600000","-588200000","-832400000","-916400000","-835000000","-1378800000",,,,,,,,,,,"",
"Senegal","722","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","123230000","277530000","328360000","238570000","214160000","369330000","291420000","518660000","704520000","589880000","536870000","-190396000",,,,,,,,"",
"Kazakhstan, Rep. of","916","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-162361000000","-167259400000","-173105400000","-261019400000","-388064800000","-713088200000","-1191912500000","-1587888900000","-2324933400000","-1861486200000","-2854394100000","-4064891800000","-4195987500000","-3828600300000",,,,,,"",
"Tunisia","744","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-1292300000","-1353300000","-1391100000","-1375500000","-1586200000","-2157300000","-2104700000","-2591600000","-3071800000","-2865300000","-2959300000","-3041400000","-2974600000","-3348900000","-2872500000","-2613800000",,,,"",
"Ethiopia, The Federal Dem. Rep. of","644","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-203961600","-280699000","-209368480","-230803000","-334502650","107260000","237832000","415090960","430775060","-34385010","-366076000","-1120000000","-1660000000","-1943000000","-2915000000","-5275100000","-5352000000",,,"",
"Honduras","268","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-3305400000","-3999500000","-4905200000","-6361900000","-8288700000","-8605900000","-10060900000","-7558200000","-7695400000","-5457300000","-13772000000","-17811900000","-24993500000","-26535500000","-27951300000","-30524200000",,,,"",
"Central African Rep.","626","Net Primary Income from Abroad, Nominal, Domestic Currency","NGDPNPI_XDC","Value","-9100000000","-6300000000","-6300000000","-6361000000","-3300000000",,,,,,,,,,,,,,,"",
